,,,,,,,,,,,,,
Overlap Results,,,,,,,,,,,,
,,,,,,,,,,,,,
Collection(s):,"C1, C2, C3, C4, C5, C6, C7, H",,,,,,,,,,,
# overlaps shown:,10,,,,,,,,,,,
# genesets in collections:,25724,,,,,,,,,,,
# genes in comparison (n):,1105,,,,,,,,,,,
# genes in universe (N):,38404,,,,,,,,,,,
,,,,,,,,,,,,,
Gene Set Name,# Genes in Gene Set (K),Description,# Genes in Overlap (k),k/K,p-value,FDR q-value,,,,,,
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,1073,Genes with high-CpG-density promoters (HCP) bearing histone H3 dimethylation at K4 (H3K4me2) and trimethylation at K27 (H3K27me3) in brain.,95,0.0885,3.34E-22,8.59E-18,,,,,,
BENPORATH_EED_TARGETS,1057,Set 'Eed targets': genes identified by ChIP on chip as targets of the Polycomb protein EED [GeneID=8726] in human embryonic stem cells.,93,0.0880,1.45E-21,1.86E-17,,,,,,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,Genes regulated by NF-kB in response to TNF [GeneID=7124].,39,0.1950,2.51E-21,2.15E-17,,,,,,
BENPORATH_ES_WITH_H3K27ME3,1112,"Set 'H3K27 bound': genes posessing the trimethylated H3K27 (H3K27me3) mark in their promoters in human embryonic stem cells, as identified by ChIP on chip.",94,0.0845,1.36E-20,7.3E-17,,,,,,
GO_TRANSCRIPTION_REGULATOR_ACTIVITY,1718,"A molecular function that controls the rate, timing and/or magnitude of transcription of genetic information. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]",123,0.0716,1.42E-20,7.3E-17,,,,,,
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,1334,"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons. [GOC:txnOH-2018]",103,0.0772,1.28E-19,5.48E-16,,,,,,
AMIT_EGF_RESPONSE_40_HELA,42,Genes whose expression peaked at 40 min after stimulation of HeLa cells with EGF [GeneID=1950].,18,0.4286,2.94E-17,1.08E-13,,,,,,
BENPORATH_SUZ12_TARGETS,1032,Set 'Suz12 targets': genes identified by ChIP on chip as targets of the Polycomb protein SUZ12 [GeneID=23512] in human embryonic stem cells.,83,0.0804,5.15E-17,1.54E-13,,,,,,
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,1094,A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units. [GOC:txnOH-2018],86,0.0786,5.37E-17,1.54E-13,,,,,,
GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,1710,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA. [GOC:ai]",114,0.0667,7.88E-17,2.03E-13,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Gene/Gene Set Overlap Matrix,,,,,,,,,,,,
,,,,,,,,,,,,,
Entrez Gene Id,Gene Symbol,Gene Description,MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,AMIT_EGF_RESPONSE_40_HELA,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
467,ATF3,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,AMIT_EGF_RESPONSE_40_HELA,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
6890,TAP1,"transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]",MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,BENPORATH_ES_WITH_H3K27ME3,,,,,,
