Name,Pos
ABCB4,371
ABHD14A,995
AC005261.1,298
ACADSB,641
ACKR2,801
ACOT13,800
ADAMTS18,15
ADAR,323
ADCY1,501
ADGRG2,593
ADGRV1,75
ADH5,642
ADIPOR1,430
ADSL,571
ADSS1,673
AGAP7P,932
AGGF1,750
AHSG,435
AIF1L,93
AKR1C4,623
AKR7A2,284
ALDH1A2,70
ALG11,652
ALG12,564
ALG1L,918
ALG8,650
ALOX12B,627
AMBN,607
AMER2,197
AMER3,489
AMH,494
ANKH,361
ANKLE2,814
ANKMY1,681
ANKRD20A11P,285
ANKRD34B,736
ANKRD36,992
ANKS6,903
ANO4,360
ANXA11,671
AOX2P,1088
APOH,440
AQP4-AS1,548
ARHGAP28,83
ARHGEF19,490
ARHGEF33,930
ARL15,863
ARL2,511
ARL8A,825
ASAP3,72
ASB15,1026
ASCL1,5
ASZ1,1028
ATF3,1
ATG16L1,979
ATP12A,52
ATPSCKMT,382
ATRAID,749
ATXN2,609
AVPI1,483
B3GALNT1,648
B3GALT2,526
B4GALNT4,965
BACE1,417
BAG3,82
BAIAP2L1,77
BANF1,866
BATF2,234
BBS5,476
BCAM,790
BCDIN3D,970
BCL2L11,65
BCL2L13,331
BCL3,168
BEND5,683
BHMT,283
BLMH,793
BLOC1S4,709
BMP8B,611
BMPR1B,153
BNIP3,533
BOK,418
BOLL,60
BRD2,797
BRD3OS,479
BRINP2,137
BTD,676
BTG2,97
BTN2A1,522
BTN3A1,330
C10orf55,1045
C11orf24,935
C11orf49,849
C11orf54,831
C12orf71,1068
C15orf41,549
C16orf58,1032
C16orf71,767
C17orf78,997
C17orf98,1036
C19orf44,987
C1orf122,152
C1QTNF12,338
C20orf173,1089
C21orf62-AS1,856
C22orf24,1019
C22orf31,535
C22orf39,978
C2orf83,401
C3orf14,912
C3orf67,471
C4orf3,692
C4orf48,1034
C5orf49,470
C7orf33,555
C7orf57,156
C8orf37,706
C8orf76,976
C9orf131,875
C9orf43,1031
CABIN1,763
CABP7,78
CABS1,1029
CACNA1B,122
CACNA1I,365
CACNA2D2,50
CADPS,506
CALML3,949
CASP10,487
CASP6,741
CASTOR2,436
CBLIF,727
CBLN4,18
CBS,592
CBX4,196
CBY1,411
CCDC102A,89
CCDC103,665
CCDC122,867
CCDC127,937
CCDC157,694
CCDC171,911
CCDC189,474
CCDC198,955
CCDC62,267
CCDC89,475
CCDC9,969
CCDC90B,560
CCL4,192
CCL4L2,933
CCNL1,176
CD151,608
CD274,333
CD9,58
CDC25B,748
CDCP1,747
CDH7,140
CDH9,661
CDIP1,824
CDKN1C,48
CDNF,605
CDPF1,583
CELSR3,503
CENPJ,279
CEP41,450
CERS4,645
CES1,618
CETP,621
CFAP46,457
CFHR3,878
CFHR4,722
CFI,787
CGA,295
CHD1L,724
CHFR,836
CHIAP2,1101
CHKB-DT,584
CHL1,527
CHODL,133
CHRM4,509
CHST4,518
CHSY3,809
CIB3,1035
CILP2,712
CKB,531
CKM,675
CLCF1,29
CLCNKA,378
CLDN19,910
CLDN20,1051
CLEC3A,944
CLIC3,372
CLIC5,20
CLK2P1,1100
CLTRN,129
CMPK2,326
CNGB3,362
CNMD,421
CNNM1,14
CNTD2,928
COA4,1023
COA8,384
COCH,23
COG3,877
COLGALT1,994
COMT,628
COX18,780
CPA5,973
CPA6,942
CPAMD8,925
CPE,496
CPLANE2,756
CPS1,625
CRADD,550
CREB3L4,220
CRELD1,954
CRIP2,538
CRNN,685
CRPPA,620
CRTC2,299
CRYZ,335
CSAG3,996
CSF2,189
CSMD3,130
CSN2,713
CSRNP1,229
CTBP1-DT,859
CTBP2,265
CTNNBIP1,410
CTRB1,720
CTRB2,762
CTRC,714
CTRL,488
CUTALP,1072
CWH43,32
CXCL10,178
CXCL11,180
CXCL14,16
CXCL9,345
CYB561A3,679
CYB5D2,534
CYP26C1,125
CYP2U1,454
CYP8B1,633
DACH2,114
DAO,718
DDX17,266
DEDD,782
DENND4B,845
DEUP1,667
DGAT2L6,655
DGKE,499
DGKG,135
DHRS13,163
DHX16,843
DIPK1B,732
DKK1,124
DLEU2,822
DLGAP1,515
DLX5,6
DMRTC2,240
DNAAF4,453
DNAJB3,799
DNAL4,451
DNALI1,452
DNM3,588
DOK7,745
DOLK,647
DOLPP1,646
DPY19L2P2,141
DRC7,677
DRD1,339
DSC3,134
DSG4,536
DUBR,693
DUSP1,172
DUSP2,174
DUSP27,946
DUSP5,173
DYNC1I1,201
DYNC1LI1,554
DYNLRB2,465
DZIP3,672
EBAG9,834
ECHDC3,638
EDA,495
EDAR,528
EDNRA,399
EEF1DP3,883
EGR1,167
