"","Pvalues"
"A1BG",0.629845059633064
"A1CF",0.756877083504886
"A2BP1",0.402758179546089
"A2LD1",0.836248533545795
"A2ML1",0.944648454311825
"A2M",0.238040109374447
"A4GALT",0.981471510147476
"A4GNT",0.0581183699391237
"AAA1",0.624657106780065
"AAAS",0.313964057453816
"AACSL",0.639128570351943
"AACS",0.162965971939943
"AADACL2",0.0654425335868099
"AADACL3",0.27203360879342
"AADACL4",0.931239687072471
"AADAC",0.27935178037825
"AADAT",0.284162194864765
"AAGAB",0.47674771488104
"AAK1",0.694356375151784
"AAMP",0.162327303876038
"AANAT",0.310950165821289
"AARS2",0.548141500203224
"AARSD1",0.40852704485248
"AARS",0.953041966745622
"AASDHPPT",0.199611763898283
"AASDH",0.544498266609484
"AASS",0.402206507612998
"AATF",0.601149507221962
"AATK",0.845883565601904
"ABAT",0.342376817902338
"ABCA10",0.677198343656802
"ABCA11P",0.188483151730547
"ABCA12",0.840453496208923
"ABCA13",0.722508628219261
"ABCA17P",0.0864761612461116
"ABCA1",0.354246885535043
"ABCA2",0.10117293631331
"ABCA3",0.807824654276033
"ABCA4",0.100779876077164
"ABCA5",0.662814928941957
"ABCA6",0.700806715292983
"ABCA7",0.518945046004721
"ABCA8",0.834631308485286
"ABCA9",0.647520692289209
"ABCB10",0.220044039616977
"ABCB11",0.75223408055407
"ABCB1",0.366806367785791
"ABCB4",0.0190638210063199
"ABCB5",0.519542049823245
"ABCB6",0.56169364190653
"ABCB7",0.590467315519107
"ABCB8",0.997140657504811
"ABCB9",0.820366259237395
"ABCC10",0.830982934658712
"ABCC11",0.700907797565147
"ABCC12",0.305643661759672
"ABCC13",0.251952134310866
"ABCC1",0.595260963800705
"ABCC2",0.797944209299508
"ABCC3",0.136240362377883
"ABCC4",0.944165582463516
"ABCC5",0.681933503443263
"ABCC6P1",0.523055434589666
"ABCC6P2",0.71305019048547
"ABCC6",0.633252694493871
"ABCC8",0.15701511613475
"ABCC9",0.292214064122401
"ABCD1",0.521586836457186
"ABCD2",0.683591300673166
"ABCD3",0.838087055810646
"ABCD4",0.667707517159631
"ABCE1",0.396721177135253
"ABCF1",0.581107296132269
"ABCF2",0.626361923052048
"ABCF3",0.202165985412521
"ABCG1",0.895924792031486
"ABCG2",0.0858230567935838
"ABCG4",0.850370943922003
"ABCG5",0.321231000588203
"ABCG8",0.115610572570385
"ABHD10",0.934375915879435
"ABHD11",0.848365694822061
"ABHD12B",0.173052336769389
"ABHD12",0.968901761409528
"ABHD13",0.98868032350234
"ABHD14A",0.0288979283495866
"ABHD14B",0.397004929739903
"ABHD15",0.916886517795622
"ABHD1",0.860953902967765
"ABHD2",0.603021262165016
"ABHD3",0.997053611067497
"ABHD4",0.304266123394326
"ABHD5",0.833992174452953
"ABHD6",0.625209285566613
"ABHD8",0.438909719969193
"ABI1",0.249267215789745
"ABI2",0.731758697702247
"ABI3BP",0.608258161642423
"ABI3",0.580943044668029
"ABL1",0.431747968142916
"ABL2",0.856199102084781
"ABLIM1",0.989507152768438
"ABLIM2",0.831080571992863
"ABLIM3",0.966732522130777
"ABO",0.61128861196218
"ABP1",0.696567543019009
"ABRA",0.375848688983199
"ABR",0.159411905690005
"ABT1",0.240545066879727
"ABTB1",0.569961607114724
"ABTB2",0.335073894545195
"ACAA1",0.186472650597218
"ACAA2",0.306488825326232
"ACACA",0.749368736572145
"ACACB",0.62468232929314
"ACAD10",0.688504776429459
"ACAD11",0.905907009149929
"ACAD8",0.869964285600676
"ACAD9",0.473009263405545
"ACADL",0.29384417953001
"ACADM",0.478929259519953
"ACADSB",0.0436714104323329
"ACADS",0.484856904472076
"ACADVL",0.404266289154579
"ACAN",0.456030176422457
"ACAP1",0.628982868998039
"ACAP2",0.264492109862733
"ACAP3",0.381867049733445
"ACAT1",0.844842586995397
"ACAT2",0.894164314405789
"ACBD3",0.210490860335051
"ACBD4",0.3992209363995
"ACBD5",0.107222665045618
"ACBD6",0.230457195126691
"ACBD7",0.584168518937535
"ACCN1",0.0579121196452228
"ACCN2",0.7569342946834
"ACCN3",0.155547889796015
"ACCN4",0.239551345489293
"ACCN5",0.242927463151805
"ACCSL",0.394365805449582
"ACCS",0.378935883244238
"ACD",0.189810211447959
"ACE2",0.739772893840108
"ACER1",0.401631008958939
"ACER2",0.285435385323757
"ACER3",0.707820399309576
"ACE",0.710138387707725
"ACHE",0.274002736090754
"ACIN1",0.515986010997443
"ACLY",0.265904574047915
"ACMSD",0.57684737238639
"ACN9",0.0648001624345188
"ACO1",0.641114860704396
"ACO2",0.16302168529228
"ACOT11",0.917650965485105
"ACOT12",0.794163753227875
"ACOT13",0.000995785227354289
"ACOT1",0.855925139985014
"ACOT2",0.820402216083703
"ACOT4",0.414255501151191
"ACOT6",0.986828845506869
"ACOT7",0.461920286943355
"ACOT8",0.430475925483991
"ACOT9",0.268397153396101
"ACOX1",0.65747066476324
"ACOX2",0.310482911016879
"ACOX3",0.99401942455713
"ACOXL",0.624951837474584
"ACP1",0.812717139902283
"ACP2",0.900578643683124
"ACP5",0.466088289631309
"ACP6",0.537316965243426
"ACPL2",0.952742756008712
"ACPP",0.239380484278399
"ACPT",0.127554303928495
"ACRBP",0.872314850282082
"ACRC",0.61826522146611
"ACRV1",0.727245279575459
"ACR",0.129133121067553
"ACSBG1",0.749940388168203
"ACSBG2",0.91939800596079
"ACSF2",0.915597274831426
"ACSF3",0.37256123555654
"ACSL1",0.487385444792443
"ACSL3",0.220022996131701
"ACSL4",0.224085499096411
"ACSL5",0.316829510798899
"ACSL6",0.974337352454005
"ACSM1",0.700589003360573
"ACSM2A",0.150246808281897
"ACSM2B",0.0831123021746985
"ACSM3",0.0976653883098406
"ACSM4",0.379155690069333
"ACSM5",0.952072747073864
"ACSS1",0.726603020553046
"ACSS2",0.0820151564203882
"ACSS3",0.0858834832647233
"ACTA1",0.568496954287521
"ACTA2",0.154992508990648
"ACTBL2",0.43981973676513
"ACTB",0.933958021567078
"ACTC1",0.891916455189917
"ACTG1",0.953743193331417
"ACTG2",0.30079010548091
"ACTL6A",0.727208410730781
"ACTL6B",0.514257461326779
"ACTL7A",0.437697750935202
"ACTL7B",0.7303086396488
"ACTL8",0.248722911123206
"ACTL9",0.239490760677537
"ACTN1",0.476309145157464
"ACTN2",0.387128357863427
"ACTN3",0.905536885059188
"ACTN4",0.813124461502063
"ACTR10",0.389579516453425
"ACTR1A",0.771450291240416
"ACTR1B",0.985266834748238
"ACTR2",0.352453929798659
"ACTR3B",0.613308368835262
"ACTR3C",0.777210905908946
"ACTR3",0.886924225568853
"ACTR5",0.398342018660136
"ACTR6",0.187385588223666
"ACTR8",0.130740364398429
"ACTRT1",0.723159311345604
"ACTRT2",0.320217019167051
"ACVR1B",0.625214179419183
"ACVR1C",0.198658169791571
"ACVR1",0.882344465657298
"ACVR2A",0.301960133793964
"ACVR2B",0.18161904717532
"ACVRL1",0.402797585243601
"ACY1",0.0741128356592345
"ACY3",0.106036946795154
"ACYP1",0.735326145927181
"ACYP2",0.269297977747653
"ADAD1",0.709193030374137
"ADAD2",0.174304719931779
"ADAL",0.555399404066992
"ADAM10",0.976673957064145
"ADAM11",0.949183394785262
"ADAM12",0.775386780207766
"ADAM15",0.778580402961533
"ADAM17",0.235949407188064
"ADAM18",0.338312601139618
"ADAM19",0.439257853979522
"ADAM20",0.250584513005474
