Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,20664.4,20867.9,21140.2,21511.3,21685.7,21353.7,22061.9,21675.5,21954.4,21844.1,22009.4,22309.1,22375.2,22445.1,22718.9,22982.2,23187.2,23975.6
Belgium,21651.3,21941.5,21814.6,21578.3,21413.6,21454.0,21701.7,21614.1,22685.0,22199.0,22089.0,21908.7,22319.0,22243.4,22119.2,21908.5,21882.2,21654.4
Canada,14205.3,14056.0,13858.6,13880.8,14002.8,14311.7,14454.6,15038.4,15927.2,16496.0,16543.5,16853.8,16964.8,17074.3,17338.9,17606.8,17913.0,19811.1
Chile,4507.9,4637.8,4701.6,4833.0,4925.8,5052.9,5143.8,5138.4,5475.2,5615.6,5708.2,5870.4,6189.3,6362.8,6534.6,6893.9,7178.7,7319.5
Czech Republic,5893.9,6593.6,7163.5,7533.2,7931.3,8357.0,8373.7,7873.1,7793.7,7680.6,7536.1,7296.2,7380.1,7616.1,8217.9,8783.1,9525.6,10342.4
Estonia,3339.9,3728.6,4296.0,4786.5,4988.2,5326.6,5996.2,6565.3,6570.5,6380.8,6078.0,6100.0,6548.9,7272.9,8029.5,8839.9,9342.9,9609.1
France,17559.2,17781.0,18086.3,18692.1,19414.1,19900.0,20101.5,20140.5,20493.1,20356.7,20332.3,20593.3,20680.1,20793.7,20960.5,21052.8,21031.6,20903.3
Greece,13276.5,13494.0,13701.6,13997.8,14269.5,14681.9,15034.9,15330.9,16015.7,15564.9,15184.2,12144.4,11868.7,12026.4,12238.8,12340.7,12203.9,12128.0
Hungary,5764.3,6845.0,6540.1,6494.5,6744.5,7115.6,6907.4,6861.9,6823.1,6689.2,6830.3,7708.1,7984.1,8288.2,8579.2,9033.8,10150.5,10669.4
Ireland,15560.5,15620.3,15789.7,16909.7,17648.8,17484.0,18476.1,18111.1,18960.2,19136.6,18659.5,18348.3,18255.4,18222.1,18275.1,19329.9,19474.8,20008.7
Israel,11935.9,11554.5,11712.4,11760.7,11608.7,11934.1,12481.2,12261.5,12086.2,11767.6,11771.9,12055.9,12298.4,12239.1,13068.9,13644.4,14365.4,15104.2
Japan,13240.4,13429.6,13484.5,13516.1,13625.7,13739.0,14025.1,14124.5,14556.6,14958.6,15167.8,15437.2,15695.6,15601.9,15869.3,16381.8,16802.1,16832.1
Korea,8365.1,9040.9,9523.0,10234.6,11126.1,11526.6,12619.7,13060.9,13485.9,13461.1,13601.4,13049.8,13669.8,14469.8,15388.7,16469.7,17334.4,19880.8
Latvia,2242.3,2396.4,2739.7,3062.9,2988.6,3274.8,4267.7,5503.1,6168.3,6031.1,6480.2,6312.2,6204.6,6947.4,7778.9,7971.8,8047.9,8969.8
Lithuania,4472.2,4459.6,4580.7,5011.9,5303.0,5598.7,5985.6,6641.3,6358.1,6275.3,6026.4,5998.0,7231.5,7288.7,7864.2,9103.0,9136.9,9365.1
