Date,PRECIP,EVAP,TMAX,TMIN
01/05/1958,0,NaN,NaN,NaN
02/05/1958,26,NaN,NaN,NaN
03/05/1958,31,NaN,NaN,NaN
04/05/1958,0,NaN,NaN,NaN
05/05/1958,0,NaN,NaN,NaN
06/05/1958,0,NaN,31,NaN
07/05/1958,0,4.7,30,10
08/05/1958,0,6.4,30,15
09/05/1958,0,7.2,31,15
10/05/1958,0,6.8,27,10
11/05/1958,6,8.2,30,12
12/05/1958,30,4.2,24,18
13/05/1958,11,3.6,28,15
14/05/1958,0,5.6,27,14
15/05/1958,9,4.7,25,14
16/05/1958,0,7.4,27,20
17/05/1958,0,8.3,27,20
18/05/1958,0,8.9,24,12
19/05/1958,0,9.5,24,12
20/05/1958,0,9.6,24,9
21/05/1958,0,8.4,26,13
22/05/1958,0,8.8,25,11
23/05/1958,0,8,30,14
24/05/1958,0,9.6,28,14
25/05/1958,0,7.8,30,15
26/05/1958,0,8,32,15
27/05/1958,0,11.6,25,14
28/05/1958,0,8.7,32,15
29/05/1958,0,8.7,35,14
30/05/1958,0,8,37,14
31/05/1958,0,6,36,14
01/06/1958,0,9,37,13
02/06/1958,0,6,38,16
03/06/1958,0,8,35,12
04/06/1958,0,5.9,34,16
05/06/1958,0,6,36,15
06/06/1958,0,7,34,14
07/06/1958,0,7,39,14
08/06/1958,0,6,35,17
09/06/1958,0,8,40,18
10/06/1958,0,5,38,19
11/06/1958,0,7,37,20
12/06/1958,0,10,42,19
13/06/1958,0,6,36,18
14/06/1958,0,4,37,17
15/06/1958,0,8,36,22
16/06/1958,0,6,29,20
17/06/1958,11,7,35,19
18/06/1958,0,8,29,16
19/06/1958,0,4.9,40,18
20/06/1958,0,10.1,40,15
21/06/1958,0,10,40,16
22/06/1958,0,9.4,37,21
23/06/1958,0,8,36,18
24/06/1958,0,9.1,32,18
25/06/1958,0,9.1,39,22
26/06/1958,14,8,35,19
27/06/1958,11,7.4,30,16
28/06/1958,0,9,25,15
29/06/1958,0,8,30,15
30/06/1958,0,7.1,32,14
01/07/1958,0,5.4,35,16
02/07/1958,0,5.2,34,16
03/07/1958,0,5.7,24,15
04/07/1958,0,4,28,15
05/07/1958,0,6.2,39,14
06/07/1958,0,5,36,18
07/07/1958,0,5,36,16
08/07/1958,0.4,5,35,18
09/07/1958,1.4,7.7,38,16
10/07/1958,1.9,6.9,37,16
11/07/1958,0,7.1,38,15
12/07/1958,0,6.4,35,16
13/07/1958,0,7.1,37,18
14/07/1958,0,7.4,38,17
15/07/1958,0,6.8,34,19
16/07/1958,0,6.1,31,15
17/07/1958,0,4.2,35,12
18/07/1958,0,6.4,41,18
19/07/1958,0,9.9,34,17
20/07/1958,0,8.1,36,17
21/07/1958,0,8,39,17
22/07/1958,0,9.1,40,19
23/07/1958,0,10,38,15
24/07/1958,0,7.4,30,18
25/07/1958,0,5.2,40,17
26/07/1958,0,10,33,19
27/07/1958,0,5.1,34,20
28/07/1958,0,5.8,39,20
29/07/1958,0,9,42,18
30/07/1958,0,11.1,41,17
31/07/1958,0,10.2,40,18
01/08/1958,0,9.4,41,18
02/08/1958,0,11.4,40,18
03/08/1958,0,9.5,41,17
04/08/1958,0,8.1,41,16
05/08/1958,0,6.8,37,21
06/08/1958,0,10.4,40,18
07/08/1958,0,9.8,40,17
08/08/1958,0,9.8,39,17
09/08/1958,0,9.8,38,17
10/08/1958,0,9.8,37,19
11/08/1958,0,9.8,38,18
12/08/1958,0,8.8,40,17
13/08/1958,0,12.9,44,19
14/08/1958,0,17.4,35,17
15/08/1958,0,6.5,35,19
16/08/1958,0,6.3,40,15
17/08/1958,0,8.8,40,19
18/08/1958,0,10,39,20
19/08/1958,0,9.5,37,17
20/08/1958,0,6.8,38,20
21/08/1958,0,8.7,44,19
22/08/1958,0,7.8,44,19
23/08/1958,0,7.2,45,19
24/08/1958,0,7.9,38,19
25/08/1958,0,7,37.5,19
26/08/1958,11,5.9,33,17
27/08/1958,0,9.6,31,17
28/08/1958,0,9.1,41,16
29/08/1958,0,9.2,40,15
30/08/1958,0,11.3,37,14
31/08/1958,10,9.1,27,17
01/09/1958,0.5,NaN,33,17
02/09/1958,18,NaN,23,14
03/09/1958,0,NaN,34,15
04/09/1958,0,NaN,35,15
05/09/1958,4,NaN,25,15
06/09/1958,3,NaN,33,17
07/09/1958,18,NaN,31,15
08/09/1958,2,NaN,34,14
09/09/1958,0,NaN,33,17
10/09/1958,0,NaN,35,16
11/09/1958,5,NaN,33,16
