Date,PRECIP,EVAP,TMAX,TMIN
01/04/1972,0.00,3.90,24.50,7.50
02/04/1972,0.00,3.60,27.00,9.50
03/04/1972,0.00,4.80,29.00,12.00
04/04/1972,8.50,2.50,27.00,15.00
05/04/1972,0.00,4.20,28.00,18.50
06/04/1972,0.00,5.80,32.00,20.00
07/04/1972,0.00,5.30,34.00,15.00
08/04/1972,6.70,4.10,30.00,16.50
09/04/1972,0.50,1.30,24.00,21.00
10/04/1972,0.00,2.80,25.50,20.00
11/04/1972,0.00,3.40,30.00,18.00
12/04/1972,0.00,4.50,31.50,18.50
13/04/1972,0.00,4.90,33.00,17.00
14/04/1972,0.00,6.30,36.00,18.00
15/04/1972,0.00,8.90,33.50,16.00
16/04/1972,0.00,6.40,31.00,13.50
17/04/1972,0.00,4.70,29.00,16.00
18/04/1972,0.00,5.40,30.00,21.00
19/04/1972,0.00,6.60,33.00,18.00
20/04/1972,0.00,7.20,34.00,18.00
21/04/1972,0.00,7.90,30.00,19.00
22/04/1972,0.00,4.90,24.00,14.00
23/04/1972,0.00,1.20,29.00,14.50
24/04/1972,0.00,4.20,29.00,18.00
25/04/1972,0.00,2.00,23.00,19.00
26/04/1972,0.00,2.50,25.00,17.00
27/04/1972,0.00,0.50,30.00,19.00
28/04/1972,0.00,3.50,27.00,19.00
29/04/1972,0.00,3.20,26.00,20.00
30/04/1972,0.00,2.30,27.00,20.00
01/05/1972,0.00,4.50,28.50,18.00
02/05/1972,23.00,4.80,30.00,19.50
03/05/1972,0.00,3.60,24.50,18.50
04/05/1972,5.80,2.30,24.00,16.00
05/05/1972,5.50,1.80,21.50,18.50
06/05/1972,0.20,2.80,29.00,18.00
07/05/1972,0.00,3.80,30.00,18.00
08/05/1972,16.00,2.90,24.00,21.00
09/05/1972,4.00,2.20,23.00,21.00
10/05/1972,8.20,4.10,29.00,20.50
11/05/1972,0.50,3.00,26.00,20.00
12/05/1972,0.00,2.20,29.00,21.00
13/05/1972,3.90,1.90,26.00,19.00
14/05/1972,14.00,2.20,25.00,20.00
15/05/1972,4.00,2.10,21.50,18.00
16/05/1972,0.00,2.00,25.00,19.50
17/05/1972,31.30,2.10,27.50,20.50
18/05/1972,2.30,3.00,27.50,17.50
19/05/1972,0.00,3.50,26.00,17.50
20/05/1972,0.00,2.00,25.00,20.00
21/05/1972,0.00,4.20,28.00,19.00
22/05/1972,0.00,4.80,29.00,19.00
23/05/1972,0.00,3.40,28.00,19.00
24/05/1972,0.00,5.10,30.00,20.00
25/05/1972,0.00,1.70,27.00,22.00
26/05/1972,0.00,4.80,27.00,21.00
27/05/1972,12.80,4.60,28.00,21.00
28/05/1972,0.00,3.60,27.00,21.00
29/05/1972,4.90,4.80,27.00,20.50
30/05/1972,9.30,3.70,28.00,21.00
31/05/1972,4.20,2.90,28.00,19.00
01/06/1972,1.00,2.20,27.00,20.00
02/06/1972,1.00,3.10,27.00,18.00
03/06/1972,0.00,5.10,29.00,17.00
04/06/1972,8.50,7.40,28.00,15.00
05/06/1972,1.10,4.20,29.00,19.00
06/06/1972,4.10,2.00,26.00,19.00
07/06/1972,9.60,4.90,27.00,19.00
08/06/1972,25.50,9.10,24.00,21.00
09/06/1972,11.20,3.30,29.50,20.00
10/06/1972,42.80,3.20,29.00,21.00
11/06/1972,31.60,2.50,28.00,20.50
12/06/1972,34.00,4.90,28.00,21.50
13/06/1972,2.00,1.50,27.00,21.50
14/06/1972,0.00,5.30,31.00,21.00
15/06/1972,36.00,6.50,30.00,22.50
16/06/1972,40.00,6.10,30.50,21.00
17/06/1972,6.90,5.80,28.00,19.00
18/06/1972,0.00,5.20,30.00,20.50
19/06/1972,0.00,6.30,32.00,19.50
20/06/1972,0.00,6.30,34.00,19.00
21/06/1972,0.00,6.80,34.50,16.50
22/06/1972,0.00,6.60,34.00,17.00
23/06/1972,0.00,6.60,34.00,18.00
24/06/1972,0.00,5.30,34.50,21.50
25/06/1972,0.00,6.60,35.00,23.00
26/06/1972,0.00,7.90,34.50,24.50
27/06/1972,0.00,7.20,34.00,22.00
28/06/1972,0.00,6.60,33.50,22.50
29/06/1972,0.00,5.50,34.00,23.50
30/06/1972,0.00,6.00,32.50,22.50
01/07/1972,0.00,6.50,33.00,19.50
02/07/1972,0.00,6.00,33.00,20.00
03/07/1972,0.00,5.00,31.50,19.50
04/07/1972,0.00,5.50,33.00,20.00
05/07/1972,50.00,5.50,30.00,18.50
06/07/1972,2.90,2.90,30.00,20.00
07/07/1972,0.00,5.20,31.00,20.00
08/07/1972,0.00,4.80,32.00,21.00
09/07/1972,0.00,2.00,32.00,21.00
10/07/1972,0.00,4.80,32.00,20.00
11/07/1972,0.00,4.00,33.00,21.00
12/07/1972,0.00,5.30,33.00,21.00
13/07/1972,0.00,2.10,33.00,21.00
14/07/1972,0.00,3.10,31.00,21.00
15/07/1972,0.20,1.60,29.00,21.00
16/07/1972,20.40,4.10,28.00,21.50
17/07/1972,12.30,2.30,29.00,22.00
18/07/1972,0.00,4.60,28.00,22.00
19/07/1972,0.10,4.50,32.00,19.00
20/07/1972,15.30,4.90,33.50,20.00
21/07/1972,73.50,3.60,29.50,22.00
22/07/1972,7.80,3.80,26.00,21.00
23/07/1972,28.00,5.30,27.50,21.00
24/07/1972,12.00,3.50,29.00,20.50
25/07/1972,0.30,4.40,30.00,19.00
26/07/1972,0.00,7.70,30.00,19.00
