Date,PRECIP,EVAP,TMAX,TMIN,T.Media
1972-01-04,0.0,3.9,24.5,7.5,16.0
1972-02-04,0.0,3.6,27.0,9.5,18.25
1972-03-04,0.0,4.8,29.0,12.0,20.5
1972-04-04,8.5,2.5,27.0,15.0,21.0
1972-05-04,0.0,4.2,28.0,18.5,23.25
1972-06-04,0.0,5.8,32.0,20.0,26.0
1972-07-04,0.0,5.3,34.0,15.0,24.5
1972-08-04,6.7,4.1,30.0,16.5,23.25
1972-09-04,0.5,1.3,24.0,21.0,22.5
1972-10-04,0.0,2.8,25.5,20.0,22.75
1972-11-04,0.0,3.4,30.0,18.0,24.0
1972-12-04,0.0,4.5,31.5,18.5,25.0
1972-04-13,0.0,4.9,33.0,17.0,25.0
1972-04-14,0.0,6.3,36.0,18.0,27.0
1972-04-15,0.0,8.9,33.5,16.0,24.75
1972-04-16,0.0,6.4,31.0,13.5,22.25
1972-04-17,0.0,4.7,29.0,16.0,22.5
1972-04-18,0.0,5.4,30.0,21.0,25.5
1972-04-19,0.0,6.6,33.0,18.0,25.5
1972-04-20,0.0,7.2,34.0,18.0,26.0
1972-04-21,0.0,7.9,30.0,19.0,24.5
1972-04-22,0.0,4.9,24.0,14.0,19.0
1972-04-23,0.0,1.2,29.0,14.5,21.75
1972-04-24,0.0,4.2,29.0,18.0,23.5
1972-04-25,0.0,2.0,23.0,19.0,21.0
1972-04-26,0.0,2.5,25.0,17.0,21.0
1972-04-27,0.0,0.5,30.0,19.0,24.5
1972-04-28,0.0,3.5,27.0,19.0,23.0
1972-04-29,0.0,3.2,26.0,20.0,23.0
1972-04-30,0.0,2.3,27.0,20.0,23.5
1972-01-05,0.0,4.5,28.5,18.0,23.25
1972-02-05,23.0,4.8,30.0,19.5,24.75
1972-03-05,0.0,3.6,24.5,18.5,21.5
1972-04-05,5.8,2.3,24.0,16.0,20.0
1972-05-05,5.5,1.8,21.5,18.5,20.0
1972-06-05,0.2,2.8,29.0,18.0,23.5
1972-07-05,0.0,3.8,30.0,18.0,24.0
1972-08-05,16.0,2.9,24.0,21.0,22.5
1972-09-05,4.0,2.2,23.0,21.0,22.0
1972-10-05,8.2,4.1,29.0,20.5,24.75
1972-11-05,0.5,3.0,26.0,20.0,23.0
1972-12-05,0.0,2.2,29.0,21.0,25.0
1972-05-13,3.9,1.9,26.0,19.0,22.5
1972-05-14,14.0,2.2,25.0,20.0,22.5
1972-05-15,4.0,2.1,21.5,18.0,19.75
1972-05-16,0.0,2.0,25.0,19.5,22.25
1972-05-17,31.3,2.1,27.5,20.5,24.0
1972-05-18,2.3,3.0,27.5,17.5,22.5
1972-05-19,0.0,3.5,26.0,17.5,21.75
1972-05-20,0.0,2.0,25.0,20.0,22.5
1972-05-21,0.0,4.2,28.0,19.0,23.5
1972-05-22,0.0,4.8,29.0,19.0,24.0
1972-05-23,0.0,3.4,28.0,19.0,23.5
1972-05-24,0.0,5.1,30.0,20.0,25.0
1972-05-25,0.0,1.7,27.0,22.0,24.5
1972-05-26,0.0,4.8,27.0,21.0,24.0
1972-05-27,12.8,4.6,28.0,21.0,24.5
1972-05-28,0.0,3.6,27.0,21.0,24.0
1972-05-29,4.9,4.8,27.0,20.5,23.75
1972-05-30,9.3,3.7,28.0,21.0,24.5
1972-05-31,4.2,2.9,28.0,19.0,23.5
1972-01-06,1.0,2.2,27.0,20.0,23.5
1972-02-06,1.0,3.1,27.0,18.0,22.5
1972-03-06,0.0,5.1,29.0,17.0,23.0
1972-04-06,8.5,7.4,28.0,15.0,21.5
1972-05-06,1.1,4.2,29.0,19.0,24.0
1972-06-06,4.1,2.0,26.0,19.0,22.5
1972-07-06,9.6,4.9,27.0,19.0,23.0
1972-08-06,25.5,9.1,24.0,21.0,22.5
1972-09-06,11.2,3.3,29.5,20.0,24.75
1972-10-06,42.8,3.2,29.0,21.0,25.0
1972-11-06,31.6,2.5,28.0,20.5,24.25
1972-12-06,34.0,4.9,28.0,21.5,24.75
1972-06-13,2.0,1.5,27.0,21.5,24.25
1972-06-14,0.0,5.3,31.0,21.0,26.0
1972-06-15,36.0,6.5,30.0,22.5,26.25
1972-06-16,40.0,6.1,30.5,21.0,25.75
1972-06-17,6.9,5.8,28.0,19.0,23.5
1972-06-18,0.0,5.2,30.0,20.5,25.25
1972-06-19,0.0,6.3,32.0,19.5,25.75
1972-06-20,0.0,6.3,34.0,19.0,26.5
1972-06-21,0.0,6.8,34.5,16.5,25.5
1972-06-22,0.0,6.6,34.0,17.0,25.5
1972-06-23,0.0,6.6,34.0,18.0,26.0
1972-06-24,0.0,5.3,34.5,21.5,28.0
1972-06-25,0.0,6.6,35.0,23.0,29.0
1972-06-26,0.0,7.9,34.5,24.5,29.5
1972-06-27,0.0,7.2,34.0,22.0,28.0
1972-06-28,0.0,6.6,33.5,22.5,28.0
1972-06-29,0.0,5.5,34.0,23.5,28.75
1972-06-30,0.0,6.0,32.5,22.5,27.5
1972-01-07,0.0,6.5,33.0,19.5,26.25
1972-02-07,0.0,6.0,33.0,20.0,26.5
1972-03-07,0.0,5.0,31.5,19.5,25.5
1972-04-07,0.0,5.5,33.0,20.0,26.5
1972-05-07,50.0,5.5,30.0,18.5,24.25
1972-06-07,2.9,2.9,30.0,20.0,25.0
1972-07-07,0.0,5.2,31.0,20.0,25.5
1972-08-07,0.0,4.8,32.0,21.0,26.5
1972-09-07,0.0,2.0,32.0,21.0,26.5
1972-10-07,0.0,4.8,32.0,20.0,26.0
1972-11-07,0.0,4.0,33.0,21.0,27.0
1972-12-07,0.0,5.3,33.0,21.0,27.0
1972-07-13,0.0,2.1,33.0,21.0,27.0
1972-07-14,0.0,3.1,31.0,21.0,26.0
1972-07-15,0.2,1.6,29.0,21.0,25.0
1972-07-16,20.4,4.1,28.0,21.5,24.75
1972-07-17,12.3,2.3,29.0,22.0,25.5
1972-07-18,0.0,4.6,28.0,22.0,25.0
1972-07-19,0.1,4.5,32.0,19.0,25.5
1972-07-20,15.3,4.9,33.5,20.0,26.75
1972-07-21,73.5,3.6,29.5,22.0,25.75
1972-07-22,7.8,3.8,26.0,21.0,23.5
1972-07-23,28.0,5.3,27.5,21.0,24.25
1972-07-24,12.0,3.5,29.0,20.5,24.75
1972-07-25,0.3,4.4,30.0,19.0,24.5
1972-07-26,0.0,7.7,30.0,19.0,24.5
1972-07-27,0.0,7.0,31.0,19.0,25.0
1972-07-28,0.0,7.9,31.0,20.0,25.5
1972-07-29,0.0,6.4,24.0,22.0,23.0
1972-07-30,0.0,5.9,33.0,18.0,25.5
1972-07-31,0.0,5.5,34.0,17.5,25.75
1972-01-08,0.0,5.4,32.0,17.0,24.5
1972-02-08,0.6,7.3,34.0,19.0,26.5
1972-03-08,0.5,3.4,30.0,21.5,25.75
1972-04-08,4.7,7.3,32.0,22.0,27.0
1972-05-08,0.0,6.5,31.0,20.0,25.5
1972-06-08,0.0,6.9,31.5,17.0,24.25
1972-07-08,0.0,7.2,32.0,16.5,24.25
1972-08-08,0.0,5.2,32.5,18.0,25.25
1972-09-08,86.7,4.4,29.5,22.0,25.75
1972-10-08,0.0,5.2,32.0,20.5,26.25
1972-11-08,0.0,4.9,32.0,22.5,27.25
1972-12-08,0.0,4.6,33.0,19.5,26.25
1972-08-13,0.0,9.8,33.5,20.0,26.75
1972-08-14,0.0,7.9,33.0,19.5,26.25
1972-08-15,0.0,5.7,33.0,17.0,25.0
1972-08-16,0.0,2.1,32.0,17.0,24.5
1972-08-17,0.0,5.5,32.0,19.0,25.5
1972-08-18,0.0,5.4,35.0,18.0,26.5
1972-08-19,0.0,7.4,35.0,20.0,27.5
1972-08-20,12.2,4.4,32.0,19.0,25.5
1972-08-21,0.0,7.2,32.0,18.5,25.25
1972-08-22,0.0,5.6,35.0,17.5,26.25
1972-08-23,0.0,5.7,35.0,18.0,26.5
1972-08-24,0.0,3.8,31.0,21.0,26.0
1972-08-25,0.0,4.6,32.0,20.0,26.0
1972-08-26,0.0,7.4,33.0,22.5,27.75
1972-08-27,0.0,8.4,33.0,19.5,26.25
1972-08-28,0.0,7.1,32.5,19.5,26.0
1972-08-29,0.0,5.6,33.0,20.0,26.5
1972-08-30,0.0,5.9,33.0,19.0,26.0
1972-08-31,0.0,6.4,33.5,19.5,26.5
1972-01-09,0.0,7.5,35.0,21.0,28.0
1972-02-09,0.0,4.9,32.5,23.5,28.0
1972-03-09,0.0,6.5,34.0,22.0,28.0
1972-04-09,0.0,5.6,36.5,20.0,28.25
1972-05-09,0.0,6.9,35.0,20.5,27.75
1972-06-09,0.0,6.8,35.0,21.0,28.0
1972-07-09,0.0,5.7,35.5,20.0,27.75
1972-08-09,34.0,4.0,33.5,22.0,27.75
1972-09-09,39.2,6.1,31.5,21.5,26.5
1972-10-09,0.5,3.9,31.5,22.5,27.0
1972-11-09,0.0,5.7,32.0,21.5,26.75
1972-12-09,16.3,6.4,32.5,20.5,26.5
1972-09-13,9.2,4.0,30.5,20.0,25.25
1972-09-14,0.0,3.6,30.5,19.5,25.0
1972-09-15,0.0,4.3,30.5,20.5,25.5
1972-09-16,0.0,5.0,32.0,19.5,25.75
1972-09-17,0.0,7.3,31.5,21.0,26.25
1972-09-18,0.0,6.8,32.5,21.0,26.75
1972-09-19,0.0,5.2,32.5,19.5,26.0
1972-09-20,0.0,6.1,27.0,18.5,22.75
1972-09-21,36.4,7.7,34.5,18.5,26.5
1972-09-22,44.5,4.6,26.0,19.5,22.75
1972-09-23,6.2,4.6,27.5,20.5,24.0
1972-09-24,0.0,4.0,28.5,20.5,24.5
1972-09-25,0.0,4.3,31.5,20.0,25.75
1972-09-26,5.0,4.8,31.0,20.0,25.5
1972-09-27,0.5,2.9,27.0,20.0,23.5
1972-09-28,0.0,2.7,32.0,20.0,26.0
1972-09-29,0.0,3.7,32.5,17.0,24.75
1972-09-30,0.0,3.2,25.0,19.5,22.25
1972-01-10,0.0,3.0,27.0,16.0,21.5
1972-02-10,0.0,3.4,36.0,17.0,26.5
1972-03-10,0.0,2.2,27.0,15.0,21.0
1972-04-10,0.0,3.3,29.0,18.0,23.5
1972-05-10,0.0,2.8,29.5,16.5,23.0
1972-06-10,94.0,0.9,30.0,18.0,24.0
1972-07-10,5.7,2.2,28.0,20.0,24.0
1972-08-10,0.5,3.7,28.0,19.0,23.5
1972-09-10,0.0,3.3,31.0,17.0,24.0
1972-10-10,1.2,1.6,28.0,17.0,22.5
1972-11-10,0.0,2.8,29.5,21.0,25.25
1972-12-10,5.0,5.9,28.0,19.0,23.5
1972-10-13,0.0,3.7,29.0,19.0,24.0
1972-10-14,0.0,3.9,30.5,16.5,23.5
1972-10-15,0.0,3.4,27.0,15.0,21.0
1972-10-16,0.0,2.9,28.0,15.5,21.75
1972-10-17,0.0,3.1,30.0,16.0,23.0
1972-10-18,0.0,2.7,27.0,16.0,21.5
1972-10-19,18.0,3.2,27.5,18.0,22.75
1972-10-20,0.5,0.2,20.0,19.0,19.5
1972-10-21,2.1,2.3,26.0,18.0,22.0
1972-10-22,0.0,3.4,31.0,17.0,24.0
1972-10-23,6.5,3.5,27.0,19.0,23.0
1972-10-24,10.5,11.5,18.0,17.5,17.75
1972-10-25,4.8,3.3,17.0,15.0,16.0
1972-10-26,0.0,3.1,25.0,15.0,20.0
1972-10-27,0.0,2.5,26.0,12.0,19.0
1972-10-28,0.0,2.4,27.0,11.0,19.0
1972-10-29,0.0,2.2,28.0,16.0,22.0
