Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/01/2010,14,183871,1806452,1792742,35,2433871,2453226,2532258,-3,1243548,1159677,1053226,15,NaN,1018.2,43494,2187097,2545161,1270645,421616,3348387,0,0,0,NaN,NaN,NaN,NaN,NaN,4657444.24,14738245
01/02/2010,15,1667857,1641964,1669643,30,22.75,22.25,2398214,3,1060714,1058929,9410714,43569,59.4,1015.2,36.5,1551531,914286,1067857,4125,3646429,0,0,0,NaN,NaN,NaN,NaN,NaN,4661299.79,14738245
01/03/2010,21,2045161,2004032,1916935,35,2753226,2737097,43613,5,1337097,1270968,983871,17,NaN,1012.8,43538,3383871,974194,4645161,5819355,43470,0,0,0,NaN,NaN,NaN,NaN,NaN,4665155.35,14738245
01/04/2010,25,2258333,22675,2221667,41,2806667,43705,28.45,14,43482,16.55,1598333,43539,NaN,1009.6,162.4,4260953,1743675,5066667,4816667,4678643,0,0,0,NaN,NaN,NaN,NaN,NaN,4669010.9,14890783
01/05/2010,28,2516129,2602419,2472581,38,3079032,3166129,3083871,17,1953226,203871,186129,14,74.1,1008.1,49.9,1742396,2871299,3387097,5693548,4714816,0,0,0,NaN,NaN,NaN,NaN,NaN,4672866.46,14890783
01/06/2010,31,2655833,2751667,26125,39,3243333,3386667,32.4,18,2068333,2116667,19.85,43662,NaN,1008.6,209.6,8753333,6096667,1265333,7600064,643531,1,155,195,NaN,NaN,NaN,NaN,NaN,4676722.02,14890783
01/07/2010,28,2527419,2665323,2543548,36,3022581,3209677,313871,22,2032258,2120968,1948387,43691,55.4,1010.8,352.7,3483871,2187428,3787097,5380645,5477419,1,91.67,118.33,NaN,NaN,NaN,NaN,NaN,4680577.57,15026413
01/08/2010,31,2596774,2723387,2585484,40,3130645,3308065,3240323,22,2062903,213871,1930645,43568,NaN,1009.9,45.5,1151613,2210009,1151613,6803226,6370968,1,142,172.5,NaN,NaN,NaN,NaN,NaN,4684433.13,15026413
01/09/2010,28,2369167,2506667,23775,37,28.75,3051667,2903333,15,1863333,1961667,1851667,43536,74.1,1010.3,322.2,5187143,1617009,2009333,4363333,4783333,1,144,178,NaN,NaN,NaN,NaN,NaN,4688288.69,15026413
01/10/2010,24,2302419,2314516,2195161,36,2922581,2970968,43614,12,1682258,1658065,1440323,43534,59.4,1015.3,43563,387558,806452,2032258,5106452,4729032,1,155,195,NaN,NaN,NaN,NaN,NaN,4692144.24,15151348
01/11/2010,20,2109167,2080833,1949167,35,2758333,2753333,2778333,4,43630,1408333,43507,43477,55.4,1015.5,0,317619,396667,163333,4856667,4.52,0,0,0,NaN,NaN,NaN,NaN,NaN,4695999.8,15151348
01/12/2010,17,1880645,1854839,1753226,34,2535484,2524194,2580645,2,1225806,1185484,9258065,43567,55.4,1017.1,0.6 1,4383871,3709677,1803226,4506483,3669655,0,0,0,NaN,NaN,NaN,NaN,NaN,4699855.35,15151348
