Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/01/2013,16.00,1966129.00,2012097.00,1839516.00,35.00,2564516.00,2598387.00,2606452.00,4.00,1367742.00,1425806.00,1072581.00,43687.00,64.80,1019.10,28.00,1651613.00,290323.00,1080645.00,4732258.00,4890323.00,FALSE,0.00,0.00,32101601.10,69243.78,521621.12,18799.79,30395304.83,4796244.26,16269241.00
02/01/2013,20.00,20625.00,2116071.00,2026786.00,36.00,2660714.00,2696429.00,2796429.00,8.00,1464286.00,1535714.00,1257143.00,43567.00,64.80,1013.40,43587.00,2557143.00,342857.00,621429.00,5521429.00,6357143.00,FALSE,0.00,0.00,27433728.00,36737.00,521622.12,18776.88,30395304.83,4800099.81,16269241.00
03/01/2013,22.00,2171774.00,2248387.00,2115323.00,38.00,2804839.00,2879032.00,2862903.00,7.00,153871.00,1617742.00,1367742.00,43720.00,70.20,1014.90,43591.00,549309.00,119686.00,1480645.00,5854839.00,6451613.00,FALSE,0.00,0.00,31224787.00,40604.00,521623.12,18753.97,30395304.83,4803955.37,16269241.00
04/01/2013,24.00,2318333.00,43700.00,43638.00,41.00,2981667.00,3021667.00,3008333.00,11.00,16.55,1738333.00,1511667.00,43720.00,74.10,1009.80,43523.00,55381.00,960342.00,43497.00,6.19,6693333.00,FALSE,0.00,0.00,30563222.00,40116.00,521624.12,18731.06,30395304.83,4807810.93,16158410.00
05/01/2013,26.00,2566935.00,2700806.00,2502419.00,41.00,318871.00,3309677.00,3193548.00,9.00,1945161.00,2091935.00,181129.00,13.00,64.80,1010.60,76.00,3558065.00,2819355.00,253871.00,7119355.00,8006452.00,FALSE,0.00,0.00,31859568.00,43857.00,521625.12,18708.14,30395304.83,4811666.48,16158410.00
06/01/2013,30.00,2648333.00,2775833.00,2708333.00,41.00,3213333.00,3368333.00,3418333.00,19.00,2083333.00,2183333.00,1998333.00,43479.00,55.40,1009.40,47.50,2066667.00,1793333.00,3596667.00,8.88,9.53,TRUE,85.00,102.50,32553274.00,43317.00,521626.12,18685.23,30395304.83,4815522.04,16158410.00
07/01/2013,29.00,2577419.00,2765323.00,2612903.00,39.00,3145161.00,3353226.00,3264516.00,21.00,2009677.00,2177419.00,196129.00,13.00,56.09,1011.30,72.10,1910599.00,1880976.00,2951613.00,7564516.00,843871.00,TRUE,97.50,115.00,32791651.00,66640.00,521627.12,18662.32,30395304.83,4819377.59,16313380.00
08/01/2013,30.00,2557258.00,2710484.00,2568548.00,40.00,3175806.00,3306452.00,326129.00,21.00,193871.00,2114516.00,1875806.00,43477.00,56.09,1011.70,51.30,700461.00,1375518.00,4680645.00,6235484.00,7070968.00,TRUE,81.67,98.33,34299590.00,65467.00,521628.12,18639.41,30395304.83,4823233.15,16313380.00
09/01/2013,26.00,2426667.00,25675.00,2425833.00,35.00,2933333.00,3058333.00,2971667.00,16.00,43515.00,2076667.00,43695.00,43626.00,56.09,1010.60,291.30,1202381.00,7483675.00,1624333.00,4993333.00,5.67,TRUE,103.00,123.00,30531168.00,111840.00,521629.12,18616.49,30395304.83,4827088.71,16313380.00
10/01/2013,22.86,2289516.00,2352419.00,2258871.00,36.23,2754839.00,2809677.00,2783871.00,11.04,1824194.00,1895161.00,1733871.00,37590.28,56.09,997.82,43675.00,1400922.00,1961621.00,2087097.00,4622581.00,5296774.00,TRUE,90.00,106.67,31238179.00,145634.00,521630.12,18593.58,30395304.83,4830944.26,16402273.00
11/01/2013,17.00,1740833.00,1863333.00,1774167.00,32.00,2206667.00,2318333.00,2301667.00,3.00,12.75,1408333.00,1246667.00,43655.00,0.00,1021.10,50.00,1827143.00,2454018.00,3976667.00,2953333.00,3536667.00,TRUE,100.00,120.00,29802816.00,96002.00,521631.12,18570.67,30395304.83,4834799.82,16402273.00
12/01/2013,13.00,1644355.00,1700806.00,1652419.00,32.00,2104839.00,2174194.00,2206452.00,3.00,1183871.00,1227419.00,1098387.00,43717.00,56.09,1022.40,74.50,6381106.00,5645492.00,5374194.00,3212903.00,3796774.00,TRUE,100.00,120.00,30287347.00,145688.00,521632.12,18547.76,30395304.83,4838655.37,16402273.00
01/01/2014,14.00,1697581.00,1803226.00,1748352.00,32.00,2345161.00,2480645.00,2579032.00,1.00,43595.00,1125806.00,9176719.00,43566.00,56.09,1021.90,7.00,2232719.00,284202.00,2906823.00,4532258.00,4283871.00,FALSE,0.00,0.00,31880995.00,97454.00,521633.12,18524.84,30395304.83,4842510.93,16508912.00
02/01/2014,17.00,2050893.00,2124107.00,2051786.00,35.00,2642857.00,27625.00,2782143.00,1.00,1458929.00,1485714.00,1321429.00,43688.00,64.80,1017.10,43473.00,492857.00,1832143.00,2.35,4403571.00,4575.00,FALSE,0.00,0.00,28089331.00,83376.00,521634.12,18501.93,30395304.83,4846366.49,16508912.00
03/01/2014,19.00,1982258.00,2064516.00,2005645.00,35.00,2501613.00,2633871.00,263871.00,3.00,1462903.00,1495161.00,1372581.00,43721.00,64.80,1016.80,43732.00,4223042.00,3736808.00,306129.00,3751613.00,4354839.00,FALSE,0.00,0.00,31444416.00,43289.00,521635.12,18479.02,30395304.83,4850222.04,16508912.00
04/01/2014,24.00,22225.00,23675.00,22375.00,40.00,2778333.00,2946667.00,2903333.00,8.00,1666667.00,1788333.00,1571667.00,43721.00,51.80,1014.10,43508.00,0.27,477351.00,726667.00,5146667.00,5786667.00,FALSE,0.00,0.00,31661366.00,58301.00,521636.12,18456.11,30395304.83,4854077.60,16718643.00
05/01/2014,26.00,2366935.00,2492742.00,2395484.00,38.00,2908065.00,3101613.00,3053871.00,11.00,1825806.00,1883871.00,1737097.00,43691.00,56.09,1015.30,71.10,2200461.00,748718.00,967742.00,6232258.00,6458065.00,FALSE,0.00,0.00,33396970.00,66729.00,521637.12,18433.19,30395304.83,4857933.15,16718643.00
06/01/2014,29.00,25.15,27.35,2614167.00,40.00,3011667.00,3318333.00,3231667.00,21.00,2018333.00,2151667.00,1996667.00,15.00,56.09,1013.40,68.00,2451429.00,3557009.00,2373333.00,6.82,7.82,FALSE,0.00,0.00,33955200.00,67593.00,521638.12,18410.28,30395304.83,4861788.71,16718643.00
07/01/2014,29.00,2628226.00,2792742.00,2722581.00,40.00,3190323.00,3453226.00,3433871.00,21.00,2066129.00,2132258.00,201129.00,43600.00,55.40,1016.60,48.20,206129.00,1587759.00,1190323.00,7758065.00,8016129.00,TRUE,7.67,14.00,34998653.00,87575.00,521639.12,18387.37,30395304.83,4865644.27,16779940.00
08/01/2014,30.00,2674194.00,2817742.00,2741935.00,40.00,326129.00,3487097.00,3491935.00,22.00,2087097.00,2148387.00,1991935.00,43720.00,74.20,1015.40,55.40,972351.00,1645823.00,616129.00,7606452.00,7996774.00,TRUE,11.00,19.00,36150365.00,75763.00,521640.12,18364.46,30395304.83,4869499.82,16779940.00
09/01/2014,26.00,2325833.00,2516667.00,43639.00,35.00,2771667.00,3023333.00,28.35,11.00,43695.00,43485.00,18.85,43719.00,56.09,1016.20,221.40,4680953.00,4724018.00,1623667.00,4476667.00,4.97,TRUE,9.00,12.50,32669568.00,92717.00,521641.12,18341.55,30395304.83,4873355.38,16779940.00
10/01/2014,24.00,2304032.00,2391935.00,2257258.00,32.00,283871.00,2979032.00,2919355.00,14.00,1769355.00,1804839.00,1595161.00,43686.00,59.30,1016.50,69.30,4456222.00,3046155.00,9677419.00,4380645.00,4841935.00,TRUE,6.00,18.33,33375542.00,128882.00,521642.12,18318.63,30395304.83,4877210.94,16966131.00
11/01/2014,16.00,1796667.00,18725.00,1766667.00,29.00,2378333.00,2468333.00,2466667.00,2.00,12.15,1276667.00,1066667.00,43596.00,55.60,1021.10,59.70,30381.00,150342.00,466667.00,3746667.00,3893333.00,FALSE,0.00,0.00,31127328.00,122574.00,521643.12,18295.72,30395304.83,4881066.49,16966131.00
12/01/2014,16.00,181371.00,1870968.00,1829032.00,30.00,2267742.00,2332258.00,2387097.00,5.00,1359677.00,1409677.00,1270968.00,43655.00,55.60,1020.30,38.10,4552074.00,2348387.00,383871.00,3109677.00,3583871.00,FALSE,0.00,0.00,31481914.00,97041.00,521644.12,18272.81,30395304.83,4884922.05,16966131.00
01/01/2015,12.00,1671774.00,1694355.00,1662097.00,30.00,2201613.00,2212903.00,2217742.00,2.00,1141935.00,1175806.00,1106452.00,43595.00,56.09,1024.10,43732.00,1343318.00,148387.00,1103226.00,2806452.00,3190323.00,FALSE,0.00,0.00,31605120.00,104077.00,521645.12,18249.90,30395304.83,4888777.60,17061945.00
02/01/2015,14.00,1649107.00,1808036.00,16875.00,32.00,2151786.00,24125.00,2239286.00,3.00,1146429.00,1203571.00,1135714.00,43535.00,37.00,1020.60,33.20,614796.00,365019.00,1325.00,3460714.00,3646429.00,FALSE,0.00,0.00,28902182.00,1500.00,521646.12,18226.98,30395304.83,4892633.16,17061945.00
